arrival_id,arrival_date,mandi_id,crop,variety,arrival_quintal,was_negative_qty,farmer_count
ARR0005413,2026-01-01,MANDI001,Sugarcane,Pusa-1121,499.91,False,83.0
ARR0015663,2026-01-01,MANDI001,Maize,,4.73,False,62.0
ARR0024877,2026-01-01,MANDI001,Maize,Hybrid,137.83,False,
ARR0013436,2026-01-01,MANDI003,Mustard,,46.01,False,62.0
ARR0013947,2026-01-01,MANDI004,Sugarcane,PBW-343,428.33,False,145.0
ARR0003461,2026-01-01,MANDI005,Paddy,Local,112.64,False,
ARR0018434,2026-01-01,MANDI006,Maize,HD-2967,198.87,False,26.0
ARR0001033,2026-01-01,MANDI007,Cotton,Premium,304.66,False,68.0
ARR0010764,2026-01-01,MANDI007,Paddy,Local,70.14,False,
ARR0022763,2026-01-01,MANDI008,Cotton,Pusa-1121,254.13,False,8.0
ARR0003196,2026-01-01,MANDI008,Maize,Hybrid,441.14,False,
ARR0008680,2026-01-01,MANDI009,Maize,Hybrid,131.6,False,36.0
ARR0020067,2026-01-01,MANDI009,Cotton,Pusa-1121,143.97,False,60.0
ARR0023159,2026-01-01,MANDI009,Sugarcane,,167.81,False,122.0
ARR0008680,2026-01-01,MANDI009,Maize,Hybrid,131.6,False,36.0
ARR0003704,2026-01-01,MANDI010,Cotton,Premium,0.35,True,7.0
ARR0005665,2026-01-01,MANDI010,Sugarcane,,7.86,False,121.0
ARR0022832,2026-01-01,MANDI011,Mustard,PBW-343,124.28,True,71.0
ARR0013926,2026-01-01,MANDI013,Sugarcane,Premium,4.49,False,149.0
ARR0001909,2026-01-01,MANDI013,Maize,Premium,128.72,False,25.0
ARR0018668,2026-01-01,MANDI015,Rice,Premium,106.63,False,27.0
ARR0010230,2026-01-01,MANDI016,Mustard,Pusa-1121,200.94,False,11.0
ARR0010230,2026-01-01,MANDI016,Mustard,Pusa-1121,200.94,False,11.0
ARR0014543,2026-01-01,MANDI017,Mustard,HD-2967,441.74,False,108.0
ARR0019756,2026-01-01,MANDI018,Wheat,Premium,312.54,False,69.0
ARR0012676,2026-01-01,MANDI018,Cotton,HD-2967,109.98,False,58.0
ARR0011887,2026-01-01,MANDI018,Cotton,HD-2967,441.97,False,49.0
ARR0010579,2026-01-01,MANDI018,Sugarcane,Premium,266.61,False,149.0
ARR0018694,2026-01-01,MANDI018,Maize,HD-2967,14.29,False,96.0
ARR0020499,2026-01-01,MANDI020,Rice,Hybrid,381.9,False,48.0
ARR0013258,2026-01-01,MANDI021,Mustard,,3.63,False,30.0
ARR0018822,2026-01-01,MANDI022,Mustard,,314.23,False,56.0
ARR0002289,2026-01-01,MANDI023,Maize,Premium,324.92,False,126.0
ARR0009418,2026-01-01,MANDI023,Mustard,HD-2967,252.81,False,30.0
ARR0013890,2026-01-01,MANDI025,Wheat,HD-2967,109.18,False,
ARR0006564,2026-01-01,MANDI026,Wheat,Local,327.19,False,52.0
ARR0014810,2026-01-01,MANDI027,Paddy,HD-2967,356.18,False,
ARR0006490,2026-01-01,MANDI027,Mustard,,2.73,False,129.0
ARR0018533,2026-01-01,MANDI027,Cotton,Pusa-1121,127.73,False,57.0
ARR0018128,2026-01-01,MANDI028,Sugarcane,Local,336.75,False,82.0
ARR0005127,2026-01-01,MANDI028,Wheat,Pusa-1121,81.57,False,31.0
ARR0016803,2026-01-01,MANDI029,Cotton,Hybrid,335.88,False,97.0
ARR0011766,2026-01-01,MANDI030,Cotton,PBW-343,165.48,False,131.0
ARR0019773,2026-01-01,MANDI031,Mustard,HD-2967,0.17,False,80.0
ARR0023557,2026-01-01,MANDI032,Rice,PBW-343,385.08,False,
ARR0010462,2026-01-01,MANDI032,Sugarcane,Pusa-1121,205.0,False,65.0
ARR0003386,2026-01-01,MANDI032,Rice,Local,247.61,False,7.0
ARR0016270,2026-01-01,MANDI033,Mustard,,372.13,False,60.0
ARR0000712,2026-01-01,MANDI034,Wheat,Hybrid,389.13,False,55.0
ARR0020033,2026-01-01,MANDI035,Cotton,Premium,34.04,False,31.0
ARR0008871,2026-01-01,MANDI036,Wheat,Pusa-1121,423.1,False,129.0
ARR0004747,2026-01-01,MANDI036,Wheat,Hybrid,287.74,False,74.0
ARR0023316,2026-01-01,MANDI037,Maize,Local,399.22,False,148.0
ARR0020253,2026-01-01,MANDI037,Cotton,PBW-343,136.22,False,41.0
ARR0015800,2026-01-01,MANDI037,Paddy,PBW-343,368.19,False,
ARR0024429,2026-01-01,MANDI039,Wheat,Local,443.13,False,49.0
ARR0023086,2026-01-01,MANDI039,Mustard,Local,251.04,False,12.0
ARR0015675,2026-01-01,MANDI039,Cotton,HD-2967,35.68,False,106.0
ARR0023086,2026-01-01,MANDI039,Mustard,Local,251.04,False,12.0
ARR0007449,2026-01-01,MANDI040,Paddy,Hybrid,183.34,False,20.0
ARR0004539,2026-01-01,MANDI040,Cotton,Premium,1.54,True,44.0
ARR0014090,2026-01-01,MANDI040,Maize,,210.23,False,73.0
ARR0015185,2026-01-01,MANDI041,Mustard,Pusa-1121,9.89,False,65.0
ARR0010352,2026-01-01,MANDI043,Cotton,HD-2967,437.63,False,55.0
ARR0023950,2026-01-01,MANDI043,Cotton,Premium,290.63,False,
ARR0021453,2026-01-01,MANDI043,Sugarcane,HD-2967,0.99,False,117.0
ARR0021312,2026-01-01,MANDI044,Paddy,,399.74,False,
ARR0003015,2026-01-01,MANDI045,Wheat,Local,241.31,False,76.0
ARR0011301,2026-01-01,MANDI045,Wheat,Pusa-1121,256.05,False,44.0
ARR0010125,2026-01-01,MANDI045,Sugarcane,Pusa-1121,163.72,False,24.0
ARR0014111,2026-01-01,MANDI045,Wheat,,235.65,False,23.0
ARR0001677,2026-01-01,MANDI046,Wheat,Local,180.44,False,
ARR0017810,2026-01-01,MANDI046,Maize,Premium,363.05,False,110.0
ARR0000525,2026-01-01,MANDI047,Maize,HD-2967,157.08,False,67.0
ARR0014562,2026-01-01,MANDI047,Maize,Hybrid,102.22,False,109.0
ARR0013346,2026-01-01,MANDI048,Wheat,Premium,268.27,False,45.0
ARR0000988,2026-01-01,MANDI048,Paddy,Pusa-1121,108.2,False,147.0
ARR0004189,2026-01-01,MANDI048,Mustard,,200.06,False,
ARR0000627,2026-01-01,MANDI049,Sugarcane,,0.84,False,38.0
ARR0000627,2026-01-01,MANDI049,Sugarcane,,0.84,False,38.0
