trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,was_impossible_duration,distance_km,vehicle_no_clean,driver_id,is_delayed
TRP009868,MANDI013,WH-North,2026-01-01 00:00:00,2026-01-02 15:09:08,39.15,False,924.3,,DRV578,True
TRP000940,MANDI048,WH-East,2026-01-01 00:00:00,2026-01-02 09:30:00,33.5,False,602.4,RJ-56-DF-6567,DRV593,True
TRP006300,MANDI011,WH-North,2026-01-01 00:00:00,2026-01-01 12:47:15,12.79,False,189.2,UP-72-DF-8300,DRV746,False
TRP009516,MANDI005,WH-East,2026-01-01 00:00:00,2026-01-02 12:05:13,36.09,False,1127.4,DL-24-AB-5154,DRV972,True
TRP006925,MANDI011,WH-East,2026-01-01 00:00:00,2026-01-02 02:55:40,26.93,False,749.9,UP-35-AB-9533,DRV861,True
TRP005319,MANDI052,WH-South,2026-01-01 00:00:00,,20.2,False,906.3,,DRV692,True
TRP001048,MANDI019,WH-North,2026-01-01 00:00:00,2026-01-02 09:20:00,33.33,False,518.3,UP-55-CD-6311,DRV286,True
TRP007859,MANDI028,Export-Terminal,2026-01-01 00:33:17,2026-01-01 20:33:00,20.0,False,851.1,RJ-74-CD-1619,DRV825,True
TRP008693,MANDI035,WH-Central,2026-01-01 01:10:00,2026-01-01 16:58:40,15.81,False,914.3,PB-71-CD-1350,,False
TRP002122,MANDI029,WH-East,2026-01-01 02:25:48,2026-01-01 21:25:00,18.99,False,961.3,HR-64-CD-7300,DRV850,False
TRP006540,MANDI045,WH-North,2026-01-01 03:00:39,2026-01-01 12:18:00,9.29,False,392.9,PB-41-DF-8835,DRV961,False
TRP000170,MANDI029,WH-Central,2026-01-01 03:12:00,2026-01-02 02:54:00,23.7,False,,RJ-39-DF-2331,DRV593,False
TRP006774,MANDI051,WH-Central,2026-01-01 03:50:00,2026-01-01 09:50:00,6.0,False,308.7,HR-88-CD-1125,DRV937,False
TRP006971,MANDI037,WH-Central,2026-01-01 03:58:00,2026-01-01 23:52:00,19.9,False,997.6,HR-52-CD-6646,,True
TRP006053,MANDI045,WH-Central,2026-01-01 04:54:00,2026-01-01 20:30:00,15.6,False,768.0,RJ-30-DF-1077,DRV753,False
TRP002994,MANDI037,Export-Terminal,2026-01-01 04:57:55,2026-01-01 07:51:00,2.88,False,129.1,,DRV399,False
TRP006115,MANDI008,WH-North,2026-01-01 05:41:09,2026-01-02 01:29:09,19.8,False,1117.8,UP-54-BC-9489,DRV445,False
TRP005460,MANDI027,WH-Central,2026-01-01 06:04:33,,17.4,False,897.5,PB-84-AB-8118,,False
TRP005460,MANDI027,WH-Central,2026-01-01 06:04:33,,17.4,False,897.5,PB-84-AB-8118,,False
TRP003779,MANDI032,WH-Central,2026-01-01 06:32:00,2026-01-01 13:32:00,7.0,False,,PB-83-CD-6562,DRV307,False
TRP008056,MANDI024,Export-Terminal,2026-01-01 06:35:21,2026-01-01 21:53:00,15.29,False,789.2,UP-11-AB-2079,DRV178,False
TRP009110,MANDI021,WH-Central,2026-01-01 07:17:00,2026-01-02 06:59:39,23.71,False,1281.8,DL-60-AB-2414,DRV256,True
TRP000226,MANDI021,WH-Central,2026-01-01 08:11:55,2026-01-01 20:17:55,12.1,False,609.6,PB-42-CD-4926,DRV924,False
TRP003594,MANDI004,WH-North,2026-01-01 08:25:11,2026-01-01 17:49:00,9.4,False,471.0,DL-15-AB-4319,DRV927,False
TRP007499,MANDI003,Export-Terminal,2026-01-01 08:26:15,2026-01-02 00:00:00,15.56,False,1063.9,,DRV160,False
TRP000702,MANDI032,WH-North,2026-01-01 08:51:49,2026-01-02 03:45:49,18.9,False,1098.9,UP-55-CD-8213,DRV804,True
TRP000765,MANDI057,WH-North,2026-01-01 09:42:00,,4.4,False,237.4,,DRV805,False
TRP000765,MANDI057,WH-North,2026-01-01 09:42:00,,4.4,False,237.4,,DRV805,False
TRP003149,MANDI033,WH-North,2026-01-01 11:16:00,,7.7,False,,PB-62-CD-5129,DRV342,False
TRP005302,MANDI044,WH-Central,2026-01-01 11:18:49,2026-01-01 16:06:00,4.79,False,,,DRV286,False
TRP008170,MANDI035,WH-East,2026-01-01 13:00:51,2026-01-02 08:00:00,18.99,False,1005.4,RJ-47-CD-7409,,True
TRP007969,MANDI038,Export-Terminal,2026-01-01 14:51:04,2026-01-02 01:27:04,10.6,False,465.3,UP-87-DF-4883,DRV890,False
TRP007969,MANDI038,Export-Terminal,2026-01-01 14:51:04,2026-01-02 01:27:04,10.6,False,465.3,UP-87-DF-4883,DRV890,False
TRP005861,MANDI021,Export-Terminal,2026-01-01 15:18:00,2026-01-02 09:18:53,18.01,False,1075.9,RJ-94-DF-9004,DRV803,False
TRP005051,MANDI023,WH-North,2026-01-01 15:20:39,2026-01-02 10:14:00,18.89,False,986.6,DL-46-CD-4805,DRV547,False
TRP008178,MANDI035,WH-West,2026-01-01 16:13:53,2026-01-02 10:13:00,17.99,False,981.3,PB-41-AB-7068,DRV759,False
TRP000826,MANDI042,WH-West,2026-01-01 17:21:00,2026-01-02 07:45:42,14.41,False,625.8,DL-26-DF-7892,DRV660,False
TRP001455,MANDI010,Export-Terminal,2026-01-01 18:32:00,2026-01-02 00:00:00,5.47,False,,DL-91-DF-1149,DRV421,False
TRP006970,MANDI009,WH-Central,2026-01-01 18:34:14,2026-01-01 21:46:14,3.2,False,175.0,,DRV301,False
TRP006004,MANDI029,WH-North,2026-01-01 20:37:24,2026-01-02 00:31:00,3.89,False,182.4,UP-11-BC-3604,DRV385,False
TRP006335,MANDI035,WH-West,2026-01-01 20:41:00,2026-01-02 05:35:00,8.9,False,,HR-87-BC-3293,DRV561,False
TRP001569,MANDI045,WH-North,2026-01-01 20:42:00,2026-01-02 19:42:09,23.0,False,1326.5,,DRV760,True
TRP007515,MANDI005,WH-West,2026-01-01 21:04:00,2026-01-02 18:04:22,21.01,False,1099.2,,DRV460,True
TRP008516,MANDI032,WH-East,2026-01-01 22:05:00,,5.5,False,232.6,PB-24-BC-5145,DRV749,False
TRP009345,MANDI013,WH-East,2026-01-01 22:41:03,2026-01-02 08:47:00,10.1,False,410.5,PB-76-DF-3250,DRV494,False
TRP006086,MANDI022,WH-West,2026-01-01 22:52:46,2026-01-02 20:16:00,21.39,False,1177.9,PB-24-DF-8426,DRV235,True
TRP005865,MANDI005,WH-North,2026-01-02 00:00:00,,9.3,False,504.4,DL-45-DF-4861,DRV401,False
TRP004962,MANDI029,WH-South,2026-01-02 00:50:00,2026-01-02 11:50:00,11.0,False,507.6,PB-70-BC-1445,DRV321,False
TRP008830,MANDI039,Export-Terminal,2026-01-02 02:19:00,2026-01-02 04:25:05,2.1,False,,,DRV483,False
TRP001213,MANDI054,WH-East,2026-01-02 03:06:55,2026-01-02 11:30:00,8.38,False,420.1,HR-81-CD-6866,,False
TRP009325,MANDI044,WH-Central,2026-01-02 04:26:09,2026-01-02 21:50:00,17.4,False,969.1,,DRV356,True
TRP002842,MANDI050,WH-East,2026-01-02 05:53:31,,11.1,False,550.0,DL-76-CD-1886,DRV622,False
TRP007339,MANDI054,WH-East,2026-01-02 05:55:00,2026-01-02 13:07:00,7.2,False,331.7,RJ-10-DF-8002,DRV773,False
TRP007882,MANDI030,Export-Terminal,2026-01-02 06:10:00,2026-01-02 17:28:00,11.3,False,557.6,PB-82-BC-9271,,False
TRP008784,MANDI019,WH-Central,2026-01-02 06:21:40,2026-01-02 17:09:00,10.79,False,,UP-40-BC-8949,DRV637,False
