reading_date,district,temp_c,rainfall_mm,humidity_percent
2026-01-01,Agra,30.4,15.7,56.0
2026-01-01,Ambala,24.35,32.51,59.5
2026-01-01,Amritsar,30.28,124.43,57.83
2026-01-01,Bareilly,27.6,18.69,76.0
2026-01-01,Bathinda,24.67,31.27,81.0
2026-01-01,Ferozepur,25.83,84.49,66.0
2026-01-01,Hisar,29.3,84.1,47.0
2026-01-01,Jalandhar,28.37,36.5,64.33
2026-01-01,Karnal,35.03,51.09,59.0
2026-01-01,Kurukshetra,24.12,80.43,60.0
2026-01-01,Ludhiana,29.03,56.29,63.5
2026-01-01,Meerut,33.17,88.22,71.0
2026-01-01,Moga,31.65,2.0,73.0
2026-01-01,Muzaffarnagar,22.42,104.64,64.25
2026-01-01,Patiala,32.33,26.93,
2026-01-01,Saharanpur,29.73,81.2,49.33
2026-01-01,Sirsa,26.52,63.9,53.25
2026-01-02,Agra,30.78,96.8,54.2
2026-01-02,Ambala,29.43,62.46,67.5
2026-01-02,Amritsar,26.5,67.58,71.0
2026-01-02,Bareilly,26.98,125.89,64.8
2026-01-02,Bathinda,23.05,46.25,92.0
2026-01-02,Fatehabad,27.66,47.4,66.25
2026-01-02,Ferozepur,30.3,25.91,66.0
2026-01-02,Hisar,25.5,18.54,38.5
2026-01-02,Jalandhar,30.52,80.31,51.0
2026-01-02,Karnal,26.26,161.01,61.86
2026-01-02,Kurukshetra,27.02,105.8,85.75
2026-01-02,Ludhiana,31.05,86.51,70.0
2026-01-02,Meerut,33.6,27.3,90.0
2026-01-02,Moga,27.05,56.6,79.5
2026-01-02,Muzaffarnagar,31.3,23.4,39.0
2026-01-02,Patiala,25.3,117.22,67.5
2026-01-02,Saharanpur,18.9,85.85,67.5
2026-01-03,Ambala,31.6,4.5,81.5
2026-01-03,Amritsar,25.85,114.0,66.0
2026-01-03,Bareilly,22.5,5.5,46.0
2026-01-03,Bathinda,22.58,63.97,44.0
2026-01-03,Fatehabad,21.25,43.4,75.5
2026-01-03,Ferozepur,25.43,37.8,69.5
2026-01-03,Hisar,23.83,138.25,53.33
2026-01-03,Jalandhar,25.86,117.36,57.8
2026-01-03,Karnal,25.54,171.89,65.57
2026-01-03,Kurukshetra,29.48,110.48,52.6
2026-01-03,Ludhiana,25.2,35.2,77.0
2026-01-03,Meerut,18.55,20.51,53.0
2026-01-03,Moga,39.0,35.81,63.0
2026-01-03,Muzaffarnagar,25.2,111.78,66.33
2026-01-03,Patiala,23.1,6.7,61.0
