district,rainfall_arrivals_correlation
Agra,-0.09169653453880472
Ambala,0.09223072871585883
Amritsar,0.10875300225580192
Bareilly,-0.015194155581224862
Bathinda,-0.019583192040890433
Fatehabad,-0.0065292396182948294
Ferozepur,-0.011188574070986139
Hisar,0.08826789767759458
Jalandhar,-0.012036768706019456
Karnal,0.03725220304387395
Kurukshetra,0.0824267543466449
Ludhiana,0.07036995910387174
Meerut,-0.041525121826778345
Moga,0.15750776667620708
Muzaffarnagar,0.06123538567830217
Patiala,-0.1458910011464558
Saharanpur,0.048798932379589696
Sirsa,-0.005171686741035157
